Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
South Dakota,"814,175","+/- 1,297","688,436","+/- 7,824","94,655","+/- 6,542","27,506","+/- 3,893",0,+/- 155,554,+/- 492,"1,422","+/- 1,445",659,+/- 778,"1,286",+/- 622,"1,021",+/- 604,0,+/- 155,0,+/- 155,0,+/- 155,101,+/- 102,69,+/- 104,0,+/- 155,186,+/- 262,267,+/- 235,285,+/- 378,"4,772","+/- 1,898",144,+/- 212,211,+/- 208,0,+/- 155,0,+/- 155,254,+/- 222,113,+/- 179,239,+/- 201,"5,342","+/- 1,981",129,+/- 155,354,+/- 294,232,+/- 258,"1,695",+/- 784,110,+/- 177,0,+/- 155,441,+/- 473,513,+/- 571,6,+/- 11,166,+/- 257,"2,060","+/- 1,025",84,+/- 102,40,+/- 46,15,+/- 26,57,+/- 77,7,+/- 12,529,+/- 706,N/A,N/A,0,+/- 155,"1,156",+/- 384,560,+/- 567,0,+/- 155,79,+/- 92,557,+/- 780,0,+/- 155,481,+/- 594,"1,310",+/- 880,"3,578","+/- 1,550",0,+/- 155,0,+/- 155,"3,578","+/- 1,550"
Tennessee,"6,333,466","+/- 4,450","5,342,978","+/- 29,750","794,556","+/- 26,578","170,969","+/- 13,046","9,326","+/- 2,717",531,+/- 465,"1,346","+/- 1,176","7,393","+/- 3,038","7,130","+/- 2,041","1,372",+/- 902,150,+/- 163,155,+/- 191,307,+/- 186,"15,491","+/- 3,282","17,507","+/- 4,897",179,+/- 230,0,+/- 208,"8,593","+/- 2,245","5,645","+/- 1,932",387,+/- 432,"1,805","+/- 1,529","13,884","+/- 2,654","1,901",+/- 908,9,+/- 17,"1,135",+/- 675,"1,690","+/- 1,886","5,983","+/- 2,441",445,+/- 315,"9,172","+/- 2,752","3,795","+/- 1,409",43,+/- 69,631,+/- 660,883,+/- 816,132,+/- 134,"1,396",+/- 850,381,+/- 330,"4,921","+/- 1,493","9,353","+/- 2,989",50,+/- 92,"5,944","+/- 2,044","3,166","+/- 3,444",726,+/- 610,"3,360","+/- 1,716",14,+/- 31,"5,531","+/- 1,883",181,+/- 156,N/A,N/A,"7,009","+/- 1,999",200,+/- 223,38,+/- 64,"6,098","+/- 1,279","2,852","+/- 2,746","1,385",+/- 764,"1,213",+/- 631,131,+/- 214,"24,963","+/- 4,567","1,083","+/- 1,191",59,+/- 100,"23,821","+/- 4,238"
Texas,"25,327,104","+/- 10,987","20,984,855","+/- 65,490","3,648,260","+/- 63,784","514,726","+/- 23,860","8,747","+/- 2,609","6,670","+/- 2,828","20,073","+/- 5,295","16,461","+/- 3,965","58,992","+/- 7,044","19,126","+/- 3,821","2,927","+/- 1,710",884,+/- 658,"2,276","+/- 1,540","35,777","+/- 6,888","17,401","+/- 3,608","6,106","+/- 2,623","4,379","+/- 3,119","15,064","+/- 3,097","10,265","+/- 3,693","3,236","+/- 1,628","12,766","+/- 4,731","6,616","+/- 2,648","25,513","+/- 5,283","1,357","+/- 1,052","9,443","+/- 3,323","5,035","+/- 1,644","15,654","+/- 4,327","7,691","+/- 2,576","6,048","+/- 2,921","13,473","+/- 3,950",537,+/- 423,"3,837","+/- 2,060","7,793","+/- 2,927",459,+/- 334,"7,578","+/- 2,982","15,225","+/- 2,786","26,155","+/- 6,509","14,956","+/- 4,396",809,+/- 652,"12,315","+/- 2,730","19,302","+/- 4,804","3,743","+/- 1,552","9,107","+/- 2,433","1,297","+/- 1,223","4,075","+/- 1,969","1,486","+/- 1,045","10,788","+/- 3,114",N/A,N/A,"5,234","+/- 2,551",349,+/- 344,"13,231","+/- 3,158","15,325","+/- 3,090",663,+/- 563,"5,982","+/- 2,396","2,500","+/- 1,485","179,263","+/- 13,868","5,225","+/- 2,173",710,+/- 778,"173,328","+/- 13,486"
Utah,"2,769,627","+/- 2,949","2,295,961","+/- 19,215","373,984","+/- 17,246","85,217","+/- 7,587",486,+/- 558,"2,151","+/- 1,259","6,585","+/- 2,560",422,+/- 455,"18,237","+/- 4,113","3,986","+/- 1,191",562,+/- 590,0,+/- 192,132,+/- 141,"1,643",+/- 960,"1,052",+/- 595,"1,701",+/- 997,"7,538","+/- 3,248","1,447",+/- 825,545,+/- 398,290,+/- 250,"1,146",+/- 829,611,+/- 529,494,+/- 402,0,+/- 192,342,+/- 301,959,+/- 638,"1,099",+/- 724,939,+/- 634,143,+/- 163,511,+/- 372,"1,241",+/- 623,195,+/- 178,"4,315","+/- 1,358",34,+/- 42,506,+/- 485,"1,707","+/- 1,068","1,937","+/- 1,299","1,653","+/- 1,181",2,+/- 5,"2,584","+/- 1,124",150,+/- 218,"2,037","+/- 1,026","1,496",+/- 808,0,+/- 192,309,+/- 259,128,+/- 146,549,+/- 419,"4,507","+/- 1,517",N/A,N/A,122,+/- 205,"2,413","+/- 1,459","4,825","+/- 2,196",270,+/- 268,158,+/- 153,"1,058",+/- 609,"14,465","+/- 2,475",0,+/- 192,0,+/- 192,"14,465","+/- 2,475"
Vermont,"621,354",+/- 940,"537,304","+/- 5,021","60,719","+/- 4,634","20,463","+/- 1,946",0,+/- 145,580,+/- 441,310,+/- 325,0,+/- 145,819,+/- 508,529,+/- 493,"2,105",+/- 608,107,+/- 135,27,+/- 53,366,+/- 199,101,+/- 99,143,+/- 85,0,+/- 145,386,+/- 245,258,+/- 210,0,+/- 145,7,+/- 13,627,+/- 660,41,+/- 74,322,+/- 200,361,+/- 233,"2,378",+/- 606,335,+/- 345,206,+/- 255,0,+/- 145,69,+/- 86,0,+/- 145,0,+/- 145,15,+/- 26,"2,244",+/- 783,962,+/- 305,56,+/- 105,"3,723",+/- 904,250,+/- 193,0,+/- 145,383,+/- 485,0,+/- 145,124,+/- 128,389,+/- 231,401,+/- 411,21,+/- 36,0,+/- 145,327,+/- 498,185,+/- 147,182,+/- 212,N/A,N/A,740,+/- 420,156,+/- 159,53,+/- 81,137,+/- 115,38,+/- 62,"2,868",+/- 803,19,+/- 45,0,+/- 145,"2,849",+/- 800
Virginia,"7,996,552","+/- 5,256","6,789,620","+/- 30,962","889,751","+/- 30,111","257,130","+/- 14,025","4,930","+/- 2,057","3,202","+/- 1,687","4,679","+/- 2,151",645,+/- 606,"19,371","+/- 4,241","4,908","+/- 2,334","5,376","+/- 2,730",961,+/- 652,"6,854","+/- 1,711","17,773","+/- 3,494","8,715","+/- 1,962","2,917","+/- 1,400",434,+/- 430,"4,000","+/- 1,213","2,703","+/- 1,067","1,503",+/- 899,892,+/- 645,"3,630","+/- 1,551","2,496","+/- 1,642","2,855","+/- 1,930","22,051","+/- 3,143","5,386","+/- 2,316","7,323","+/- 3,026",834,+/- 361,"1,682","+/- 1,191","2,277","+/- 1,178",617,+/- 714,256,+/- 289,"1,717",+/- 961,"1,344",+/- 798,"7,327","+/- 2,046","1,014",+/- 604,"12,455","+/- 2,816","22,753","+/- 4,584",462,+/- 729,"9,570","+/- 2,217",853,+/- 477,"3,499","+/- 1,935","12,009","+/- 2,497","1,897","+/- 1,477","6,612","+/- 2,032",908,+/- 841,"7,482","+/- 2,452","11,655","+/- 3,004","1,426",+/- 641,173,+/- 138,N/A,N/A,"4,615","+/- 1,717","9,041","+/- 2,596",858,+/- 745,190,+/- 274,"60,051","+/- 6,990","1,222",+/- 779,124,+/- 201,"58,705","+/- 6,768"
Washington,"6,748,474","+/- 4,248","5,565,069","+/- 27,197","919,925","+/- 27,221","208,507","+/- 13,639","1,821","+/- 1,049","5,266","+/- 2,233","12,397","+/- 3,133",756,+/- 565,"38,421","+/- 4,474","3,938","+/- 1,215","1,026",+/- 533,0,+/- 201,358,+/- 254,"6,094","+/- 1,777","8,705","+/- 3,348","5,940","+/- 2,264","10,895","+/- 4,263","2,062",+/- 821,"2,303","+/- 1,315","1,000",+/- 465,"2,820","+/- 1,740","1,271",+/- 936,"1,016","+/- 1,018","1,313","+/- 1,689","1,899",+/- 808,"1,580",+/- 757,"3,720","+/- 1,212","1,543",+/- 898,"1,110",+/- 762,"3,307","+/- 2,181","2,125",+/- 934,673,+/- 441,"4,925","+/- 1,696",824,+/- 605,"2,006",+/- 987,"1,569","+/- 1,254","4,512","+/- 1,322","3,870","+/- 1,452",189,+/- 304,"2,686","+/- 1,217",765,+/- 573,"29,168","+/- 5,436","2,296","+/- 1,378",463,+/- 319,"1,519","+/- 1,267",227,+/- 225,"2,342","+/- 1,116","15,491","+/- 4,361","4,789","+/- 1,640",119,+/- 196,"4,233","+/- 1,698",N/A,N/A,157,+/- 186,"1,491",+/- 892,"1,507",+/- 870,"54,973","+/- 5,730","1,083","+/- 1,061",362,+/- 321,"53,528","+/- 5,625"
West Virginia,"1,836,614","+/- 1,681","1,609,110","+/- 9,854","172,262","+/- 8,430","50,068","+/- 4,934",221,+/- 228,598,+/- 566,50,+/- 95,225,+/- 361,"1,442","+/- 1,085",124,+/- 160,594,+/- 401,89,+/- 102,300,+/- 231,"2,949","+/- 1,076","1,296",+/- 898,147,+/- 248,120,+/- 127,"1,331","+/- 1,134",210,+/- 200,0,+/- 184,0,+/- 184,515,+/- 259,326,+/- 313,45,+/- 75,"7,515","+/- 2,257",236,+/- 196,459,+/- 263,0,+/- 184,0,+/- 184,309,+/- 345,60,+/- 101,78,+/- 140,293,+/- 235,160,+/- 223,"1,431",+/- 611,0,+/- 184,"2,017",+/- 866,"3,865","+/- 1,241",0,+/- 184,"8,545","+/- 1,913",97,+/- 113,132,+/- 203,"4,205","+/- 1,569",284,+/- 344,"1,857","+/- 1,316",0,+/- 184,546,+/- 449,"1,574","+/- 1,047",114,+/- 216,23,+/- 33,"5,561","+/- 1,534",83,+/- 137,N/A,N/A,42,+/- 69,0,+/- 184,"5,174","+/- 1,423",680,+/- 450,557,+/- 556,"3,937","+/- 1,154"
Wisconsin,"5,647,213","+/- 2,653","4,846,550","+/- 18,735","675,623","+/- 19,411","109,439","+/- 8,715",708,+/- 761,432,+/- 323,"4,045","+/- 1,532",335,+/- 285,"6,637","+/- 2,054","2,592","+/- 1,457",993,"+/- 1,397",219,+/- 276,123,+/- 170,"4,338","+/- 1,103","1,745","+/- 1,106","1,108","+/- 1,597",566,+/- 434,"25,521","+/- 4,568","4,017","+/- 2,027","3,306","+/- 1,757",418,+/- 446,"1,040",+/- 570,850,+/- 563,12,+/- 21,147,+/- 141,733,+/- 578,"5,623","+/- 1,353","17,927","+/- 2,244",983,+/- 924,"2,090","+/- 1,117",143,+/- 93,483,+/- 405,663,+/- 345,480,+/- 364,378,+/- 352,714,+/- 502,"2,213",+/- 835,"2,120",+/- 967,"1,383","+/- 1,273","1,358",+/- 628,118,+/- 119,"1,057",+/- 680,"1,294",+/- 781,368,+/- 407,377,+/- 312,590,+/- 487,744,+/- 527,"1,984",+/- 836,890,+/- 652,342,+/- 311,"2,573","+/- 1,465","1,555","+/- 1,071","1,090","+/- 1,630",N/A,N/A,14,+/- 23,"15,601","+/- 2,441",728,+/- 715,0,+/- 151,"14,873","+/- 2,450"
Wyoming,"561,389","+/- 1,021","462,808","+/- 7,194","66,648","+/- 5,771","30,651","+/- 4,428",51,+/- 62,761,+/- 597,369,+/- 276,174,+/- 191,"2,539","+/- 1,151","6,905","+/- 2,099",11,+/- 22,0,+/- 189,0,+/- 189,"1,525","+/- 1,206",46,+/- 80,0,+/- 189,"2,140","+/- 1,161",450,+/- 409,6,+/- 14,342,+/- 323,286,+/- 364,83,+/- 140,114,+/- 204,0,+/- 189,0,+/- 189,152,+/- 226,849,+/- 545,357,+/- 355,70,+/- 117,241,+/- 274,"1,105",+/- 531,"1,784",+/- 957,427,+/- 656,0,+/- 189,7,+/- 16,76,+/- 101,113,+/- 149,395,+/- 457,237,+/- 313,22,+/- 40,462,+/- 555,960,+/- 851,284,+/- 254,13,+/- 28,219,+/- 307,"1,043","+/- 1,077",69,+/- 66,"1,398",+/- 927,"2,140","+/- 1,003",4,+/- 8,451,+/- 634,"1,803","+/- 1,343",0,+/- 189,168,+/- 260,N/A,N/A,"1,282","+/- 1,155",0,+/- 189,0,+/- 189,"1,282","+/- 1,155"
Puerto Rico,"3,669,195","+/- 3,034","3,403,602","+/- 12,450","238,263","+/- 11,889","22,649","+/- 3,662",35,+/- 59,378,+/- 457,229,+/- 363,0,+/- 210,207,+/- 222,0,+/- 210,"1,849",+/- 928,13,+/- 25,212,+/- 315,"6,614","+/- 2,336",247,+/- 195,0,+/- 210,13,+/- 24,624,+/- 537,784,+/- 895,0,+/- 210,38,+/- 62,0,+/- 210,0,+/- 210,0,+/- 210,70,+/- 124,"1,412",+/- 904,88,+/- 127,0,+/- 210,27,+/- 35,101,+/- 165,0,+/- 210,0,+/- 210,0,+/- 210,0,+/- 210,"2,150","+/- 1,149",51,+/- 94,"2,615","+/- 1,171",200,+/- 195,0,+/- 210,0,+/- 210,79,+/- 117,0,+/- 210,"1,978","+/- 1,059",490,+/- 718,3,+/- 6,113,+/- 139,224,+/- 368,444,+/- 334,0,+/- 210,0,+/- 210,"1,077","+/- 1,097",41,+/- 42,14,+/- 25,229,+/- 373,0,+/- 210,"4,681","+/- 2,095",N/A2,N/A2,0,+/- 210,"4,681","+/- 2,095"
