Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
South Dakota,"856,726","+/- 1,949","723,740","+/- 7,648","99,781","+/- 5,584","26,106","+/- 3,529",144,+/- 176,183,+/- 302,402,+/- 456,83,+/- 140,"3,599","+/- 1,967","1,284",+/- 531,0,+/- 163,0,+/- 163,0,+/- 163,580,+/- 726,253,+/- 255,531,+/- 805,44,+/- 55,177,+/- 204,0,+/- 163,"2,479","+/- 1,031",332,+/- 384,0,+/- 163,"1,257","+/- 1,042",89,+/- 151,306,+/- 487,0,+/- 163,251,+/- 215,"3,510","+/- 1,012",14,+/- 32,384,+/- 373,217,+/- 170,"2,892","+/- 1,159",282,+/- 265,28,+/- 58,135,+/- 165,152,+/- 189,345,+/- 270,215,+/- 219,"1,751",+/- 975,111,+/- 182,105,+/- 130,71,+/- 98,34,+/- 60,0,+/- 163,15,+/- 27,N/A,N/A,264,+/- 350,"1,156",+/- 705,170,+/- 283,0,+/- 163,364,+/- 505,195,+/- 135,0,+/- 163,974,+/- 755,728,+/- 464,"7,099","+/- 2,487",358,+/- 306,58,+/- 100,"6,683","+/- 2,468"
Tennessee,"6,642,072","+/- 5,023","5,675,990","+/- 26,239","748,912","+/- 22,417","191,909","+/- 10,150","9,523","+/- 2,684",417,+/- 324,"2,522","+/- 1,327","5,843","+/- 2,106","7,879","+/- 2,231","1,823",+/- 706,"2,013",+/- 923,648,+/- 724,322,+/- 350,"19,470","+/- 3,699","16,865","+/- 3,825",334,+/- 367,562,+/- 471,"12,376","+/- 3,221","4,745","+/- 1,742",334,+/- 330,"1,796","+/- 1,253","13,138","+/- 3,141","2,614","+/- 1,018",586,+/- 627,"1,497",+/- 834,"1,109",+/- 638,"6,535","+/- 1,908",978,+/- 731,"8,830","+/- 2,070","3,819","+/- 2,205",212,+/- 219,515,+/- 394,854,+/- 583,0,+/- 208,"1,209",+/- 691,"1,193",+/- 665,"5,413","+/- 1,983","8,892","+/- 2,710",0,+/- 208,"5,934","+/- 1,848","2,680","+/- 1,560",881,+/- 511,"4,677","+/- 1,672",47,+/- 82,"2,911","+/- 1,032",210,+/- 186,N/A,N/A,"12,904","+/- 2,753",652,+/- 597,235,+/- 301,"11,339","+/- 2,802","1,789","+/- 1,169",996,+/- 841,"1,426",+/- 769,362,+/- 504,"25,261","+/- 3,848",979,"+/- 1,104",773,+/- 392,"23,509","+/- 3,768"
Texas,"27,924,632","+/- 9,989","23,534,387","+/- 67,754","3,643,333","+/- 65,150","524,511","+/- 22,790","10,235","+/- 3,573","3,543","+/- 1,769","14,875","+/- 3,853","14,222","+/- 3,651","63,174","+/- 6,149","20,023","+/- 3,624","2,363","+/- 1,054",297,+/- 286,"1,307",+/- 948,"33,740","+/- 4,634","16,182","+/- 3,611","6,376","+/- 1,979","2,536","+/- 1,095","26,214","+/- 5,254","9,510","+/- 2,795","6,086","+/- 2,973","11,649","+/- 3,004","6,561","+/- 1,786","28,700","+/- 5,324",648,+/- 601,"9,793","+/- 2,188","5,502","+/- 2,235","7,030","+/- 1,861","8,715","+/- 2,609","11,199","+/- 3,655","13,881","+/- 3,234",650,+/- 442,"2,689",+/- 951,"7,599","+/- 2,698",638,+/- 474,"7,460","+/- 2,015","16,395","+/- 3,066","20,664","+/- 3,989","13,288","+/- 4,702","1,605",+/- 833,"13,300","+/- 2,773","20,573","+/- 3,281","3,725","+/- 1,141","12,684","+/- 3,211",10,+/- 17,"6,123","+/- 2,369","1,498",+/- 900,"11,630","+/- 2,557",N/A,N/A,"9,131","+/- 2,878",662,+/- 574,"15,436","+/- 3,540","14,646","+/- 3,569","1,353",+/- 892,"7,443","+/- 3,020",948,+/- 588,"222,401","+/- 14,550","5,105","+/- 1,755","1,714",+/- 677,"215,582","+/- 14,375"
Utah,"3,056,193","+/- 3,007","2,532,858","+/- 16,462","398,606","+/- 14,353","99,584","+/- 7,531",644,"+/- 1,010",660,+/- 512,"8,144","+/- 2,461",177,+/- 149,"17,020","+/- 3,599","4,625","+/- 1,761",283,+/- 283,0,+/- 192,501,+/- 447,"1,044",+/- 559,"2,218","+/- 1,220","1,532","+/- 1,021","6,742","+/- 1,819","1,810",+/- 972,829,+/- 725,81,+/- 135,367,+/- 316,"1,068","+/- 1,151",317,+/- 262,151,+/- 242,"1,127",+/- 635,650,+/- 397,604,+/- 367,"1,716","+/- 1,381",361,+/- 436,"2,070",+/- 961,"2,043","+/- 1,131",580,+/- 487,"5,948","+/- 2,182",0,+/- 192,976,+/- 913,"1,781",+/- 949,"1,770",+/- 821,"1,253",+/- 769,"2,184","+/- 1,528","1,944",+/- 916,919,+/- 488,"4,102","+/- 2,312",987,+/- 677,0,+/- 192,"1,259",+/- 944,0,+/- 192,972,+/- 643,"6,536","+/- 2,369",N/A,N/A,204,+/- 275,"3,187","+/- 1,093","5,270","+/- 2,285",142,+/- 214,"1,064",+/- 670,"1,722",+/- 997,"25,145","+/- 4,357",0,+/- 192,502,+/- 512,"24,643","+/- 4,436"
Vermont,"619,089",+/- 948,"536,390","+/- 5,931","57,588","+/- 4,891","21,868","+/- 3,314",0,+/- 157,203,+/- 240,132,+/- 129,0,+/- 157,"1,246",+/- 594,689,+/- 324,839,+/- 367,14,+/- 30,261,+/- 306,"1,645",+/- 901,80,+/- 128,83,+/- 146,0,+/- 157,"1,317","+/- 1,549",0,+/- 157,80,+/- 116,61,+/- 107,0,+/- 157,149,+/- 183,624,+/- 301,278,+/- 217,"3,975","+/- 1,001",352,+/- 239,75,+/- 88,0,+/- 157,0,+/- 157,21,+/- 26,101,+/- 119,301,+/- 441,"1,690",+/- 617,699,+/- 243,60,+/- 112,"2,758",+/- 913,291,+/- 377,0,+/- 157,44,+/- 61,14,+/- 24,344,+/- 375,483,+/- 295,432,+/- 375,87,+/- 125,32,+/- 54,179,+/- 155,485,+/- 357,130,+/- 145,N/A,N/A,636,+/- 383,181,+/- 151,48,+/- 62,106,+/- 139,643,+/- 653,"3,243","+/- 1,880",125,+/- 174,0,+/- 157,"3,118","+/- 1,879"
Virginia,"8,372,522","+/- 4,750","7,089,782","+/- 25,415","958,267","+/- 22,292","250,490","+/- 10,432","2,341",+/- 948,736,+/- 568,"2,587",+/- 997,"1,184",+/- 714,"14,509","+/- 2,690","4,644","+/- 1,350","3,368","+/- 1,301","2,107",+/- 877,"10,088","+/- 1,820","17,864","+/- 3,219","8,708","+/- 1,836","4,947","+/- 2,109",107,+/- 166,"6,515","+/- 1,683","1,565",+/- 787,"1,535","+/- 1,030","2,771","+/- 1,489","2,765","+/- 1,183","2,705","+/- 1,333","1,135",+/- 868,"25,578","+/- 3,689","3,493","+/- 1,157","2,991","+/- 1,205","2,010","+/- 1,511","1,060",+/- 746,"2,657","+/- 1,310",227,+/- 194,"1,054",+/- 688,"1,691",+/- 860,"1,310",+/- 636,"8,992","+/- 1,978","2,344",+/- 924,"12,614","+/- 2,331","26,277","+/- 4,500",222,+/- 216,"4,754","+/- 1,423","3,453","+/- 1,320",511,+/- 421,"13,350","+/- 2,274","1,453",+/- 730,"6,923","+/- 1,661",494,+/- 435,"4,121","+/- 1,547","15,596","+/- 3,557","2,123","+/- 1,049",963,+/- 694,N/A,N/A,"5,488","+/- 2,115","5,294","+/- 1,395",961,+/- 571,305,+/- 503,"73,983","+/- 7,003","1,318",+/- 703,850,+/- 515,"71,815","+/- 6,872"
Washington,"7,318,811","+/- 4,011","6,016,482","+/- 24,671","978,057","+/- 22,670","260,787","+/- 14,178","1,605",+/- 989,"7,532","+/- 2,598","11,733","+/- 3,478","1,074","+/- 1,063","52,484","+/- 6,061","8,473","+/- 2,055","1,310",+/- 846,943,"+/- 1,202","1,441","+/- 1,446","10,311","+/- 3,038","5,375","+/- 2,117","4,855","+/- 1,295","9,963","+/- 2,366","8,848","+/- 2,757","1,171",+/- 640,867,+/- 569,"2,249",+/- 923,394,+/- 389,"2,401","+/- 1,254",564,+/- 848,"2,623","+/- 1,194","3,690","+/- 1,786","3,834","+/- 1,485","3,192","+/- 1,318",245,+/- 267,"2,985","+/- 1,881","4,593","+/- 2,204",849,+/- 874,"4,398","+/- 1,953",405,+/- 513,"3,702","+/- 1,933","2,156","+/- 1,132","6,217","+/- 2,189","6,893","+/- 2,468","1,249",+/- 755,"3,520","+/- 1,248","3,507","+/- 1,225","28,013","+/- 3,899","4,611","+/- 2,086","1,606","+/- 1,322","3,920","+/- 1,861",279,+/- 278,"1,295",+/- 715,"14,096","+/- 3,744","7,603","+/- 2,736",503,+/- 691,"7,976","+/- 2,358",N/A,N/A,547,+/- 590,"2,106","+/- 1,044",581,+/- 412,"63,485","+/- 6,684",88,+/- 106,"1,992","+/- 1,214","61,405","+/- 6,551"
West Virginia,"1,798,306","+/- 1,891","1,589,833","+/- 9,253","165,375","+/- 8,367","40,007","+/- 4,327",239,+/- 248,121,+/- 152,13,+/- 27,0,+/- 200,563,+/- 409,463,+/- 374,41,+/- 88,360,+/- 301,287,+/- 286,"2,635","+/- 1,157",649,+/- 592,0,+/- 200,119,+/- 203,194,+/- 316,492,+/- 487,182,+/- 293,405,+/- 408,904,+/- 617,157,+/- 279,39,+/- 68,"4,715","+/- 1,627",197,+/- 186,805,+/- 570,161,+/- 172,346,+/- 508,0,+/- 200,26,+/- 44,287,+/- 394,30,+/- 53,217,+/- 338,534,+/- 366,0,+/- 200,547,+/- 356,"2,944","+/- 1,542",0,+/- 200,"5,544","+/- 1,730",186,+/- 246,30,+/- 65,"4,945","+/- 1,439",91,+/- 148,612,+/- 420,0,+/- 200,"1,266",+/- 986,"2,175","+/- 2,090",456,+/- 365,0,+/- 200,"5,388","+/- 1,617",469,+/- 511,N/A,N/A,173,+/- 187,0,+/- 200,"3,091",+/- 912,103,+/- 129,0,+/- 200,"2,988",+/- 874
Wisconsin,"5,731,549","+/- 3,294","4,908,638","+/- 17,520","687,285","+/- 16,914","112,519","+/- 6,909",757,+/- 669,389,+/- 494,"1,702",+/- 658,601,+/- 462,"4,741","+/- 1,454","2,101",+/- 820,282,+/- 216,401,+/- 395,146,+/- 175,"5,505","+/- 1,492","1,797",+/- 673,279,+/- 357,260,+/- 332,"26,963","+/- 3,401","2,274","+/- 1,253","3,018",+/- 872,443,+/- 283,881,+/- 649,"1,047",+/- 806,904,+/- 753,597,+/- 570,654,+/- 387,"4,993","+/- 1,696","19,873","+/- 2,329",853,+/- 642,"2,204",+/- 937,445,+/- 232,432,+/- 311,410,+/- 282,190,+/- 235,"1,351","+/- 1,130",861,+/- 546,"1,337",+/- 603,"2,253",+/- 932,575,+/- 360,"2,174","+/- 1,071",643,+/- 452,708,+/- 511,"2,136","+/- 1,166",52,+/- 86,857,+/- 508,145,+/- 137,"1,682","+/- 1,034","5,375","+/- 1,594","2,141","+/- 1,687",105,+/- 126,"1,671",+/- 732,"2,531","+/- 1,213",507,+/- 686,N/A,N/A,273,+/- 250,"23,107","+/- 3,476","2,541","+/- 1,331",74,+/- 120,"20,492","+/- 3,238"
Wyoming,"573,483","+/- 1,042","481,231","+/- 7,380","71,338","+/- 6,817","18,511","+/- 2,739",264,+/- 237,152,+/- 182,220,+/- 209,722,"+/- 1,026","2,344",+/- 933,"4,254","+/- 1,405",190,+/- 257,240,+/- 396,0,+/- 201,148,+/- 139,0,+/- 201,0,+/- 201,600,+/- 637,163,+/- 157,18,+/- 27,511,+/- 732,107,+/- 104,0,+/- 201,134,+/- 223,0,+/- 201,113,+/- 191,0,+/- 201,93,+/- 112,478,+/- 408,0,+/- 201,286,+/- 305,"1,375",+/- 841,473,+/- 355,359,+/- 399,11,+/- 21,125,+/- 216,7,+/- 15,110,+/- 133,205,+/- 237,357,+/- 325,66,+/- 56,315,+/- 369,151,+/- 136,98,+/- 131,0,+/- 201,0,+/- 201,310,+/- 349,178,+/- 239,979,+/- 515,733,+/- 458,0,+/- 201,843,+/- 741,759,+/- 592,0,+/- 201,20,+/- 25,N/A,N/A,"2,403","+/- 1,038",0,+/- 201,0,+/- 201,"2,403","+/- 1,038"
Puerto Rico,"3,313,519","+/- 3,560","3,101,332","+/- 13,351","189,034","+/- 12,193","20,167","+/- 4,285",888,"+/- 1,134",5,+/- 8,108,+/- 137,0,+/- 262,"1,567","+/- 1,434",0,+/- 262,"1,300","+/- 1,243",301,+/- 509,0,+/- 262,"2,334","+/- 1,032",374,+/- 612,0,+/- 262,0,+/- 262,171,+/- 209,595,+/- 630,118,+/- 190,0,+/- 262,9,+/- 17,0,+/- 262,0,+/- 262,0,+/- 262,"1,147","+/- 1,059",96,+/- 159,0,+/- 262,0,+/- 262,779,+/- 983,0,+/- 262,145,+/- 159,0,+/- 262,14,+/- 12,618,+/- 492,0,+/- 262,"3,263","+/- 1,912",94,+/- 142,0,+/- 262,"1,412","+/- 1,243",0,+/- 262,0,+/- 262,"1,943","+/- 1,372",901,+/- 980,209,+/- 322,0,+/- 262,0,+/- 262,"1,235",+/- 913,0,+/- 262,0,+/- 262,541,+/- 610,0,+/- 262,0,+/- 262,0,+/- 262,0,+/- 262,"2,986","+/- 1,148",N/A,N/A,97,+/- 161,"2,889","+/- 1,152"
